A1: Ladder,B1: 4878,C1: 3607,D1: 786,E1: 3159,F1: 280,G1: 338,H1: 1550,A2: 5182,B2: 1145,C2: 2666,D2: 3973,E2: 734,F2: n1,G2: n2,H2: n3
0.5661082,0.03362834,0.1470645,0.1777428,0.03091582,0.09090101,0.304569,0.1049289,0.1072745,0,0.03326931,0.2663865,0.0006389804,0.02855354,0.1672814,0.2596894
0.4397308,0.04832051,0.1653849,0.2527008,0.09976462,0.05935981,0.3241489,0.104519,0.1316238,0,0.09155769,0.2204302,0.01726099,0.01368151,0.1280176,0.2583408
0.2389682,0.05322026,0.3030222,0.2798298,0.2451195,0.07296427,0.3415915,0.1599942,0.0834888,0.04899382,0.1313759,0.1859151,0.02548568,0.04491831,0.06101065,0.2679017
0.07711003,0.09830094,0.2869334,0.2922122,0.3107358,0.125186,0.3082538,0.1917078,0.03485912,0.1519164,0.256929,0.1686964,0.05517527,0.1324117,0.05877154,0.29698
0.01800893,0.1168888,0.1984141,0.284884,0.2620449,0.09214348,0.183669,0.2306716,0.06528502,0.2365978,0.2987987,0.1920759,0.1068262,0.1588108,0.1471436,0.3674696
0.04078084,0.1305889,0.1216338,0.2710422,0.2394465,0.1240393,0.09965945,0.2549601,0.1490448,0.2569016,0.2755239,0.1981772,0.1729893,0.1601745,0.2689773,0.3977409
0.1657868,0.1503066,0.0575656,0.2640877,0.2214163,0.1793106,0.09838951,0.2672587,0.1518393,0.2553219,0.3503248,0.2919719,0.253349,0.2204673,0.3144241,0.4107147
0.3085043,0.1125915,0.0001393299,0.2752743,0.226894,0.1654037,0.108116,0.3204931,0.1379442,0.2785981,0.3180359,0.2965376,0.2574046,0.3553238,0.3734684,0.3794295
0.3425082,0.09941906,0.04011622,0.2274963,0.1979911,0.1449124,0.1344608,0.3661315,0.1536018,0.2855305,0.2399558,0.2994855,0.2409528,0.367948,0.3989895,0.3671277
0.3058792,0.1132628,0.09159954,0.1654173,0.1226275,0.1087897,0.2220654,0.4088997,0.07831877,0.3010211,0.1068406,0.3107068,0.2023464,0.3491419,0.4104642,0.4395938
0.3142929,0.1640875,0.1229097,0.1453432,0.09974692,0.1167073,0.2325143,0.4066549,0.0009286669,0.3887997,0.02528177,0.2136992,0.2247586,0.3393508,0.4345674,0.4580744
0.3028439,0.2136895,0.1731883,0.16124,0.08540007,0.1018064,0.2206089,0.4458607,0.002787648,0.4765134,0.04171712,0.1516385,0.2998425,0.3467329,0.4020692,0.4711629
0.1977172,0.2475044,0.205532,0.2325937,0.2385915,0.1825007,0.2850495,0.4910893,0.05196557,0.4914844,0.08645116,0.1398769,0.3253246,0.2884657,0.4879586,0.4554009
0.09902373,0.2382414,0.2087515,0.259878,0.3692475,0.2930636,0.3313594,0.5555273,0.01409377,0.5073032,0.1739244,0.1394886,0.3586476,0.3490821,0.5005023,0.4823866
0.1110219,0.2247214,0.2448489,0.2649766,0.5037954,0.3361751,0.352763,0.6382353,0.01677444,0.4834324,0.2489798,0.1195993,0.3642661,0.4365376,0.5173357,0.5205272
0.1389213,0.1905264,0.2397072,0.2164675,0.5570651,0.3996511,0.3656414,0.7526292,0.08795098,0.4579698,0.3204226,0.1732995,0.375495,0.5192198,0.4962788,0.5670744
0.09160556,0.2237105,0.2595911,0.2020959,0.5794671,0.4448833,0.4644313,0.8719325,0.06750648,0.47072,0.3335459,0.2613138,0.3047495,0.5690782,0.4310768,0.6672997
0.004231386,0.2274538,0.2632661,0.2786947,0.6093794,0.4818822,0.6205351,1.002015,0.1065008,0.4636232,0.3468203,0.3106218,0.2468339,0.5941101,0.4604922,0.7538686
0.09679665,0.247082,0.3088463,0.379302,0.6411262,0.5769213,0.8894768,1.269314,0.1638115,0.4439328,0.450505,0.4222247,0.3339057,0.6994412,0.4821728,0.9338601
0.1715319,0.3071853,0.404423,0.4977945,0.6815499,0.7827685,1.222946,1.651274,0.1885227,0.5359131,0.5344576,0.5450183,0.4384544,0.7510055,0.6391812,1.206782
0.1657376,0.4360294,0.5874528,0.6758118,0.7472088,1.064648,1.600719,2.249853,0.2164016,0.7296038,0.6529949,0.6609684,0.6080991,0.9565417,0.8615354,1.580246
0.109391,0.6275461,0.8074168,0.8544987,0.86555,1.471611,2.106508,2.971724,0.3320763,1.042111,0.8351228,0.8711779,0.8351547,1.230946,1.120868,2.051896
0.06600687,0.863438,1.066575,1.115151,1.027653,1.939399,2.739398,3.912991,0.4976488,1.421522,1.059318,1.15483,1.207916,1.672966,1.406602,2.633711
0,1.170599,1.412611,1.536521,1.402621,2.497467,3.550359,4.926924,0.6163531,1.837666,1.332106,1.579009,1.607108,2.220781,1.814572,3.36626
0,1.484062,1.855854,2.119782,1.909883,3.208379,4.606655,6.092465,0.897186,2.182365,1.708063,2.131463,2.088704,2.845693,2.422602,4.291145
0,1.964333,2.517197,2.857311,2.65109,4.147722,5.928397,7.603019,1.349123,2.679562,2.210765,2.818125,2.832249,3.715764,3.201333,5.481792
0,2.61546,3.446229,3.798667,3.570342,5.273681,7.497909,9.437694,1.842314,3.438976,2.881085,3.710994,3.748428,4.73903,4.26731,6.966306
0,3.489173,4.625711,5.009511,4.768679,6.658816,9.442958,11.63879,2.629489,4.501438,3.789915,4.89034,4.819437,6.140944,5.731844,8.713373
0,4.671498,6.070116,6.456729,6.218412,8.365219,11.91267,14.08881,3.74276,5.992826,5.016652,6.411939,6.215724,7.889631,7.470907,10.75537
0.9075339,6.306131,7.913584,8.34489,8.047359,10.3234,14.75074,16.91711,5.043928,7.812587,6.663005,8.337259,7.990799,10.10021,9.580499,13.18965
2.21759,8.417499,10.08393,10.71376,10.4238,12.6398,17.86783,20.00472,6.704667,10.04937,8.646163,10.72311,10.23887,12.88205,12.31754,16.01805
4.114121,11.02665,12.75035,13.53339,13.34776,15.36064,21.62093,23.37554,8.850276,12.65191,11.09411,13.48867,12.94844,16.06242,15.46457,19.36564
6.667247,14.25263,16.1155,16.81214,16.79983,18.46967,25.84146,27.24252,11.58718,15.90836,13.94979,16.73467,16.0952,19.95516,19.09615,23.15324
9.755734,18.09355,20.12326,20.77886,20.6862,21.98911,30.66026,31.44451,14.87728,19.83239,17.37525,20.62397,19.79237,24.30692,23.44511,27.54253
13.80436,22.52064,24.82067,25.33307,25.14446,25.93225,35.99227,36.15953,19.08918,24.381,21.41116,25.21803,23.96432,29.26774,28.5841,32.50152
18.64038,27.82695,30.27964,30.4715,30.35263,30.39259,41.92149,41.55046,24.06686,29.70595,26.27723,30.32547,28.91353,34.88267,34.36102,37.90325
24.52017,33.9079,36.50793,36.43769,36.37615,35.2513,48.3733,47.63293,29.70427,35.53321,32.17659,36.27246,34.39644,41.16041,40.97271,43.95106
31.56768,40.97577,43.2312,43.12583,43.43478,40.8098,55.52106,54.20557,36.27039,42.10257,38.69604,42.72872,40.73377,48.19433,48.30082,50.56078
39.93251,48.73741,50.94191,50.34391,51.38443,46.88049,63.25094,61.20984,43.69835,49.17508,45.97446,49.85745,47.84604,55.75451,56.48101,57.60441
49.23538,57.67269,59.33776,58.33328,59.97895,53.34901,71.75791,68.93447,52.18729,57.41086,53.88114,57.53605,55.67609,64.09251,65.07341,65.31485
60.20495,67.43916,68.62086,67.06509,69.24741,60.29926,80.73616,76.84936,61.48611,66.22497,62.44486,66.18119,64.15091,72.99152,74.47716,73.58266
